description,abbreviation,translation
Поле д. Глебово в междуречье р. Визьма и р. Андога.,р.,река
Поле д. Гижино по дороге в д. Палнаволок.,д.,деревня
"Поле д. Б. Пога на южной оконечности о-ва, у пролива (река), разделяющего Мал. и Бол. Погу. Пахотное угодье д. Б. Пога, на нем полосы: Рассадники, Правая сторона к дороге, Левая сторона, Машины и Павловы Гоны, Васина поляна, Площадь к реке, Шашины Гоны о наволок, Северный Край Петрова поляна, За Ямами.",д.,деревня
Поле в центральной части о. Выгостров.,о.,остров
Поле в районе д. Сигнаволок.,д.,деревня
Поле в районе д. Пялозеро.,д.,деревня
Поле в р-не д. Загорье.,д.,деревня
"Поле в зап. части о. Выгостров, на мысу, вдающемся в оз. Водлозеро.",о.,остров
"Поле в 800 м. от деревни, под горой, бывшие подсеки С этого поля течет речка. Есть колодец.",м.,метров
Поле в 800 м. к востоку от деревни.,м.,метров
"Поле в 700 м. к востоку от деревни, южнее поля papin pol'anku.",м.,метров
"Поле в 700 м. к востоку от деревни, рядом с полем Klimoipeldo, справа от северной дороги в Läpäkkö.",м.,метров
"поле в 600 м. к востоку от деревни, справа от северной дороги в Läpäkkö, напротив поля alango.",м.,метров
"Поле в 500 м. от деревни, за полем pitky pol'anku, слева от дороги в Куйтежу.",м.,метров
"Поле в 500 м. к югу от дер., слева от переулка Puustankujo, южнее поля Mrdopeldo.",м.,метров
"Поле в 400 м. от деревни, справа от дороги в Куйтежу, за полем prošken tagaverii.",м.,метров
"Поле в 400 м. к югу от дер., справа переулка Puustankujo.",м.,метров
"Поле в 400 м. к югу от дер., к западу от поля lietopeldo.",м.,метров
"Поле в 400 м. к юго- востоку от деревни, справа от южной дороги в Läpäkkö, через дорогу от поля kivipol'anku.",м.,метров
"Поле в 300 м. к северу от деревни, справа от дороги в Куйтежу, находится за домом Prošken talo.",м.,метров
"Поле в 200 м. к югу от дер., слева от переулка jogikujo.",м.,метров
"Поле в 200 м. к юго- востоку от дер., к западу от поля leninskoi,справа от дороги в Läpäkkö.",м.,метров
"Поле в 200 м. к северо- западу от дер., слева от переулка Hotikujo, к западу от поля riigoin tagaverii.",м.,метров
"Поле в 200 м. к западу от дер., южнее поля livotšipeldo.",м.,метров
"Поле в 200 м. к западу от дер., южнее поля Bajoižet.",м.,метров
"Поле в 200 м. к востоку от деревни, слева от севенрной дороги в Läpäkkö.",м.,метров
"Поле в 200 м. к востоку от дер., на юго- западном склоне холма, за школой.",м.,метров
Поле (чищенина) жителей с. Нюхча. Фамилия Карельские. Привязка к карте м.б. не совсем точной.,с.,село
"Покосы, расположенные в 2.5 км к северо-западу от д. Красная Сельга.",д.,деревня
"Покосы, расположенные в 12 км от п. Калевала в сторону г. Кеми. Бывший хутор.",п.,посёлок
"Покосы на р.Шапше, выше п. Ладва - Ветка, в 7 км от дер. Иломанча, в месте впадения в р.Шапшу Келяйручья.",п.,посёлок
Покосы жителей д. Сельги. D'ymizien taguana.,д.,деревня
Покосы д. Ранина Гора.,д.,деревня
Покосы д. Коскосалма по реке.,д.,деревня
Покосы д. Бол. Пога.,д.,деревня
"Покосы д. Алексеево, по фамилии владельца.",д.,деревня
Покосы в р-не р. Янгозерка.,р.,река
Покосы в окрестностях д. Шушки.,д.,деревня
Покосы в окрестностях д. Галлезеро.,д.,деревня
Покосы в окрестностях д. Виданы.,д.,деревня
"Покосы в 350 м. к югу от деревни, к югу от поля Hykkihiine.",м.,метров
"Покос, расположенный по правому берегу р.Кузнецкая, тянущийся от моста через р.Кузнецкую в д.Погост на юг, протяженностью 50 м.",м.,метров
"Покос, к зап. от д. Кошуково.",д.,деревня
"Покос, 500 м к юго-западу от д. Саньки, на низком месте, под горой. Рядом угодье Теребок.",д.,деревня
Покос у д. Гакугса. Пахотная поляна на берегу р. Суя. Урочище на прав. берегу р. Суя.,р.,река
Покос по р. Сума.,р.,река
"Покос по р. Колода, выше устья Майморучья.",р.,река
Покос по р. Андоге в окрестностях с. Ивановское.,с.,село
Покос на р. Похта у д. Новиково.,р.,река
Покос на р. Иводе (дер. Аксеново).,р.,река
"Покос на р. Вама в месте, где у дороги на д. Половина стоял Крест. Урочище на лев. берегу р. Вама, между Вашпорогом и о. Корнев, против д. Вама.",о.,остров
Покос на р. Большая Сенатка.,р,река
Покос на р. Большая Сенатка.,р.,река
"Покос на одноименном мысу. Пустошь принадлежавшая Муромскому монастырю в 1582 г выкашивалось сена 25 копен . Муромский монастырь. Олон. сборник, 1886, вып. 2, с. 110 Сена косят на монастырь на Березовцы на Сормой и Вакуксе и на Суи и на Черной речке. ПКОП 1563, с. 201",с.,село
"Покос на одноименном болоте. Пахотная поляна за д. Нигижма, по свидетельству иняорматора, не каменистое место.",д.,деревня
Покос на о. Суйсарь на берегу к югу от деревни на 0.5 км.,о.,остров
"Покос на о. Кижи, между деревнями Ямка и Васильево. там добывали глину и делали кирпичи",о.,остров
"Покос на западном берегу Святухи, в 150 м. на ю/в от дер.",м.,метров
Покос на вост. от с. Георгиевское.,с.,село
"Покос на вост. от д. Сума. Пахотное угодье на прав. берегу р. Сума, по краю дороги в д. Кубово.",р.,река
"Покос на вост. от д. Сума. Пахотное угодье на прав. берегу р. Сума, по краю дороги в д. Кубово.",р.,река
Покос на вост. от д. Сума.,д.,деревня
Покос за р. Путкозерка.,р.,река
Покос жителей с. Нюхча. Привязка м.б. не совсем точной.,с.,село
Покос жителей с. Нюхча.,с.,село
Покос жителей с. Нюхча.,с.,село
Покос жителей с. Нюхча.,с.,село
Покос жителей с. Нюхча.,с.,село
"Покос жителей с. Нюхча, между р. Нюхча и Кунопацким ручьем.",р.,река
Покос жителей с. Нюхча у Чёрного бора. Привязка к карте не является точной.,с.,село
"Покос жителей с. Нюхча по Берегу Белого моря, рядом с впадением р. Нюхча. Привязка к карте м.б. не совсем точной.",с.,село
Покос жителей с. Нюхча,с.,село
Покос жителей д. Спасская Губа.,д.,деревня
Покос д. Van´kamposad по направлению к д. Mägots.,д.,деревня
Покос д. Syrd.,д.,деревня
Покос д. Пяшница по р. Андоге.,д.,деревня
Покос д. Путилово.,д.,деревня
Покос д. Палнаволок.,д.,деревня
Покос д. Куганаволок по р. Ильвама.,р.,река
Покос д. Кодобал по р. Визьма.,р.,река
"Покос д. Дубова по р. Колоде, между устьями рек Паланга и Калма, под горой Кивень. Ср. рядом Омосовонга.",р.,река
Покос д. Бол. Куганаволок по р. Ильвама.,р.,река
Покос д. Бол. Куганаволок по р. Ильвама.,р.,река
Покос в устье р. Трехверстка.,р.,река
Покос в районе д. Бураково.,д.,деревня
"Покос в 700 м. на ю/в от деревни, у лесной тропы, рядом поляна У Мостины. Ягодница [НАРК, ф.2341, оп.1, 8/108, л.5, 1947].",м.,метров
"Покос в 500 м. к югу от дер., к западу от поля treškanmelitšan dorogu.",м.,метров
"Покос в 400 м. к югу от дер., к западу от поля Syväim'halmeh.",м.,метров
"Покос в 3000 м. к западу от дер., к юго востоку от покоса hiiroiluuhti.",м.,метров
Покос в 3 в. от д. Сопоха в лесу.,д.,деревня
"Покос в 2500 м. к северо -западу от дер., к западу от покоса keskikorti.",м.,метров
"Покос в 2000 м. к северо- западу от дер., западнее поля alahažet.",м.,метров
"Покос в 2 км от деревни в лесу, к югу от г. Медвежица и угодья Медведица.",г.,город
Покос в 2 км от д. Kukagd´/Володарского.,д.,деревня
"Покос в 1500 м. к югу от дер, справа от дороги в деревню Kondui, южнее покоса koveroja.",м.,метров
Покос (поп косил) за д. Шильникова.,д.,деревня
Пожога д. Устье.,д.,деревня
Пожня у п. Онежский.,п.,посёлок
Пожня у п. Онежский.,п.,посёлок
пожня по о. Лисьему,о.,озеро
Пожня п. Онежский.,п.,посёлок
Пожня п. Онежский.,п.,посёлок
Пожня п. Онежский.,п.,посёлок
Пожня п. Онежский.,п.,посёлок
Пожня на юго-западе д.Чёрный Наволок (Тамбицы) в 300 м.,м.,метров
Пожня на юге д.Габнаволок в 500-600 м.,м.,метров
Пожня на с.-в. от центра с. Шуньга.,с.,село
"Пожня на берегу Дедовой Губы Белого моря в 8,5 км к северо-востоку от с. Поньгома",с.,село
"Пожня жителей с. Нюхча. Возможно, что то же место, что У Креста.",с.,село
Пожня д. Лядины.,д.,деревня
Пожня в 7-8 км. к северу от с. Поньгома,с.,село
Пожня в 6 км. к северу от с. Поньгома,с.,село
"Пожня в 4 км к западу от н.п. Падмозеро, в районе д. Перхино.",д.,деревня
Пожни п. Онежский.,п.,посёлок
Пожни п. Онежский.,п.,посёлок
Пожни п. Онежский.,п.,посёлок
Пожни п. Онежский.,п.,посёлок
"Пожни на о. Сумостров. Остров находится у с. Вирма. но, судя по источнику, покосы на нем были и у жителей Сухого. Привязка к карте не является точной. Привязано к северной окраине острова, удаленной от с. Вирма.",о.,остров
Пожни к югу от бывшей д.Пургино в 300 м.,м.,метров
Пожни жителей села на о. Большой Еловец. Привязка к карте м.б. не совсем точной.,о.,остров
Пожни жителей Кеми под г. Ревяжварака.,г.,гора
Пожни д. Кильпога на г. Якосерьга.,г.,гора
"Пожни в 0,5 км на восток от д. Селезнево.",д.,деревня
Поворот р. Нюхча у Пигоры.,р.,река
Плес на р. Туба.,р.,река
"Плёс на р. Нюхча, ниже по течению от с. Нюхча",с.,село
Перешеек в оз. Лижмозеро вдоль восточного берега о. Большой.,о.,остров
Переулок в 100 м. к северо- западу от дер.,м.,метров
"Перекат на р. Водла, у о-ва Келейный (на другой стороне о-ва Каменка). Ср. рядом Верхняя Пуганда.",р.,река
Первый порог по р. Большой Кетьмуксе.,р.,река
Первый порог на р. Нюхча вниз по течению от с. Нюхча. Привязка к карте м.б. не совсем точной.,р.,река
Пахотное угодье по дороге в г. Пудож. Ср. уроч. Жиловщина.,г.,город
"Пахотное угодье по дороге в г. Пудож, рядом с уроч. Ебисельга (здесь полоса - У Креста Мишиных).",г.,город
"Пахотное угодье за д. Кривцы, по дороге в г. Пудож.",г.,город
"Пахотное угодье за д. Кривцы, по дороге в г. Пудож.",г.,город
"Пахотное угодье за д. Кривцы, по дороге в г. Пудож.",г.,город
Пахотное угодье д. Кривцы по дороге в г. Пудож. Поле/сенокос к югу от д. Кривцы.,г.,город
Пахотное угодье д. Кривцы по дороге в г. Пудож.,г.,город
"Пахотное угодье д. Кривцы по дороге в г. Пудож, против уроч. Семейная поляна, между дорогой и р. Водла. Ср. Жиловщины Верхни.",г.,город
"Пахотное угодье д. Кривцы по дороге в г. Пудож, против уроч. Ебисельга, между дорогой и р. Водла.",г.,город
"Пахотное угодье д. Кривцы за р. Водла, на берегу реки, у дороги в г. Каргополь.",г.,город
Пахотная поляна на р. Н. Корба.,р.,река
"Оcтров в Белом море к востоку от с.Колежма, на с/з от Кондострова. В памяти колежемцев и нюхчан, Кондостров и его окрестности связаны, прежде всего, с ГУЛАГом: «Старики нюхотские говорили, что это в честь министра госбезопасности Абакумова В. С. названо». Урочище на с.-зап. о. Кондостров. Останки лагерных бараков.",о.,остров
Отмель в р. Ялганда у п. Онежский.,п.,посёлок
Островок на ю/з границе архипелага Уйма. Маркировал проход между Уймами и о. Климецкий.,о.,остров
Островок между о. Мальковец и Поповым о-вом.,о.,остров
"Островок в Уницкой губе к юго-западу от о. Березовец, против Гангасгубы.",о.,остров
"Островок в Заонежском заливе Онежского озера, в районе д. Лонгасы. Рядом с о. Высокий.",о.,остров
Островок в Белом море у г. Кемь.,г.,город
Островок в Белом море в районе с. Шуерецкое.,с.,село
Островок в Белом море в районе г. Кемь.,г.,город
Островок (луда) напротив м. Становой Наволок. Имеет навигационное значение. В отлив доступен по литорали,м.,мыс
Островок (луда) напротив м. Становой Наволок. Имеет навигационное значение. В отлив доступен по литорали,м.,мыс
"Остров, примыкающий с севера к о. Еглово.",о.,остров
"Остров, дл.120 м., ш.60 м. Расположен в Святухе в 150 м. на ю/в от дер. Быково. Рядом о. Овечий. о.Кониный [ТК]",м.,метров
"Остров, дл.120 м., ш.60 м. Расположен в Святухе в 150 м. на ю/в от дер. Быково. Рядом о. Овечий. о.Кониный [ТК]",м.,метров
Остров Muuraissaari находится на севере зал. Суоенлахти. Южнее этого острова находится о. Jänissaari.,о.,остров
"Остров у ю/в берега о. Кижи, против Погоста.",о.,остров
"Остров у западного берега Святухи, в 300 м. западнее о-ва Сташий Фофан, в 2 км к ю/в от деревни.",м.,метров
Остров у восточного берега Кондопожской губы Онежского озера в окрестностях г. Кондопоги. Справа от городской пристани.,г.,город
"Остров у вост. берега Онежского озера, за о. Петрило (пос. Пяльма).",о.,остров
"остров Сойканлуото расположен в проливе Ханкосалонселькя, северо-западнее г. Кимамяки (высота 82.3)",г.,гора
Остров севернее о. Голомянный Боршовец. Колония морских птиц. «На Синюхе весной яиц можно собрать».,о.,остров
Остров Рекисари расположен на стыке прол. Хонкасалонселькя и озером Ладога. На востоке от него расположен о. Васасари.,о.,остров
Остров реки Кемь между материком и о. Средний Пудас.,о.,остров
Остров реки Кемь между материком и о. Средний Пудас.,о.,остров
"остров оз. Сумозера к северу от д. Воренжа, к с. и с.-з. от него начинаются хоз.и вод. владения жителей д. Ёндогуба",с.,севере
Остров оз. Ковдозеро. отделен от материка проливами Большая и Меньшая Лайдасалма. На карте о. Лайдасалма.,о.,остров
"Остров напротив Юково, на с/з от о.Мягостров. Ср. восточнее о. Сосновец или Голый Сосновец.",о.,остров
Остров напротив деревни Kežarvi. Рядом с ним в озере яма глубиной ококло 40 м.,м.,метров
Остров наОнежском озере к северо-востоку от о. Еглов. На острове поле и покосы.,о.,остров
Остров на ю. от о. Мягостров. Охотничья изба. Личная тоня.,о.,остров
Остров на с.-зап. от о. Мягостров. Бывшая тоня колхоза «Им. Калевалы» д. Юково. Изба. Гостевые домики. Личная тоня. См. Бережной Сосновец.,о.,остров
Остров на с.-зап. от о. Мягостров. Бывшая тоня колхоза «Им. Калевалы» д. Юково. Изба. Гостевые домики. Личная тоня. См. Бережной Сосновец.,о.,остров
"Остров на р. Сумареке, выше д. Лапино, у порога Кириёшка.",д.,деревня
Остров на р. Руйга.,р.,река
"Остров на р. Водла, на нем Мандерская поляна.",р.,река
"Остров на р. Водла, выше д. Падун, у пор. Щелейки.",р.,река
"Остров на р. Вама, при впадении р. Чопша, в 10 км выше д. Половина по сведениям информатора, остров заливался водой, и на нем были покосы д. Половина.",р.,река
"Остров на зап. от о. Мягостров через пролив Мягостровская Салма. Однако «Щельем» обычно называют небольшой островок на зап., в р-не Игольниковой корги, где построена охотничья изба. Охотничье угодье.",о.,остров
"Остров на зап. от о. Мягостров через пролив Мягостровская Салма. Однако «Щельем» обычно называют небольшой островок на зап., в р-не Игольниковой корги, где построена охотничья изба. Охотничье угодье.",о.,остров
"Остров на зап. от о. Мягостров через пролив Мягостровская Салма. Однако «Щельем» обычно называют небольшой островок на зап., в р-не Игольниковой корги, где построена охотничья изба. Охотничье угодье.",о.,остров
"Остров на зап. от о. Мягостров через пролив Мягостровская Салма. Однако «Щельем» обычно называют небольшой островок на зап., в р-не Игольниковой корги, где построена охотничья изба. Охотничье угодье.",о.,остров
"Остров на зап. от о. Мягостров через пролив Мягостровская Салма. Однако «Щельем» обычно называют небольшой островок на зап., в р-не Игольниковой корги, где построена охотничья изба. Охотничье угодье.",о.,остров
"Остров на вост. от о. Омостров. Имеет навигационное значение – при подходе с моря надо держаться мористее, чтобы не наскочить на прибрежные мели.",о.,остров
"Остров на болоте, сенокос. Угодья с. Георгиевское на р. Андога.",с.,село
Остров на болоте в районе с. Шуерецкое.,с.,село
"Остров леса на болоте, на восток от с. Урицкое.",с.,село
"Остров из группы о-вов Степановы Луды. В 1996 г. большая часть острова сгорела в результате лесного пожара. Название «Горелый» с тех пор закрепилось у мореходов с. Колежма. Включают: Горелый Степанов (=Бережной), Степанов Средний, Голоменой Степанов (= Голомянный).",г.,год
Остров восточнее о. Сосновец в Кондопожской губе Онежского озера.,о.,остров
"Остров в Шуерецкой губе, рядом о. Большой Либуев.",о.,остров
Остров в Уницкой губе. Севернее расположен о. Сев. Соколий.,о.,остров
"Остров в Уймах, на ю/в от о. Долгий. Рядом о. Сато Малый.",о.,остров
Остров в Онежском озере у п. Онежский.,п.,посёлок
Остров в Онежском озере у п. Онежский.,п.,посёлок
Остров в Онежском озере у п. Онежский.,п.,посёлок
Остров в Онежском озере у п. Онежский.,п.,посёлок
Остров в Онежском озере у п. Онежский.,п.,посёлок
Остров в Онежском озере у п. Онежский.,п.,посёлок
Остров в Онежском озере у п. Онежский.,п.,посёлок
"Остров в оз. Крошнозеро, напротив д. Ёршнаволок.",д.,деревня
"Остров в Космозере, один из Антиповских островов, 1,5 км в длину и 350 м. в ширину поп бывало владел. Когда-то на острове косил поп Василий. о. Сильный [ТК]",м.,метров
"Остров в Космозере, в 500 м. к западу от деревни,в 100 м. южнее дер. Погост",м.,метров
"Остров в Космозере, в 500 м. к западу от деревни,в 100 м. южнее дер. Погост",м.,метров
"Остров в Космозере, в 50 м. на север от острова Малый Антиповский или Микин остров. На острове собирались пьяницы.",м.,метров
Остров в Заонежском заливе Онежского озера в районе д. Вертилово. На острове покос.,д.,деревня
Остров в Заонежском заливе Онежского озера в районе д. Вертилово. На острове покос.,д.,деревня
"Остров в заливе Веренгуба, у восточного берега Святухи. о. Шидерский [ТК]",о.,остров
"Остров в дельте р.Выг, в Беломорске. В 1924-25 г. была построена больница",г.,река
"Остров в губе Святуха, расположен в 100 м. к востоку от Остраднего острова, в 800 м. к с/в от дер. Микково, в 300 м. к с/з от Кривого острова См. на Космозере о. Антипий. Олений остров [РГИА, ф.380, оп.17, № 530, планшет 10, 1868].",о.,остров
"Остров в губе Святуха, напротив Церковного Наволока. На острове старое кладбище. Длина острова 350 м., ширина 60 м. Гонгостров [РГИА, ф.380, оп.17, № 530, планшет 10].",м.,метров
"Остров в губе Святуха, напротив Церковного Наволока. На острове старое кладбище. Длина острова 350 м., ширина 60 м. Гонгостров [РГИА, ф.380, оп.17, № 530, планшет 10].",м.,метров
"Остров в губе Святуха, длина 150 м, ширина 50 м, расположен у западного берега Святухи, в 300 м. к северу от дер. Быково.",м.,метров
"Остров в г. Кемь, рядом с Лепостровом, разделены протокой Большой пудас.",г.,город
"Остров в г. Кемь, рядом с Лепостровом, разделены протокой Большой пудас.",г.,город
"Остров в г. Кемь, в малую воду - полуостров.",г.,город
"Остров в Белом море, к востоку от о. Тумище.",о.,остров
"Остров в Белом море, в районе г. Кемь.",г.,город
Остров в Белом море к северу от о. Юльмяки.,о.,остров
Остров в Белом море к востоку от с. Колежма.,с.,село
Остров в Белом море к востоку от с. Колежма.,с.,село
Остров в Белом море к востоку от с. Колежма.,с.,село
Остров в Белом море за о. Русский Кузов.,о.,остров
Остров в Белом море за о. Немецкий Кузов.,о.,остров
"Остров в Белом море в районе г. Кемь. Рядом группа островков, которые вместе с этим называют также Берёзовыми островами.",г.,город
Остров в Белом море в районе г. Кемь.,г.,город
Остров в Белом море в районе г. Кемь.,г.,город
Остров в Белом море в районе г. Кемь.,г.,город
Остров в Белом море в районе г. Кемь.,г.,город
Остров в Белом море в районе г. Кемь.,г.,город
Остров в Белом море в районе г. Кемь.,г.,город
Остров в Белом море в районе г. Кемь.,г.,город
Остров в Белом море в районе г. Кемь,г.,город
Остров в Белом море в районе г. Кемь,г.,город
Остров в Белом море в 10 км. к юго-востоку от с. Поньгома,с.,село
Остров в архипелаге Уйма между о. Долгий и сев. концом о-ва Климецкий.,о.,остров
"Остров в 700 м. к западу от Терехово, в заливе Великая Губа. Молодежь собиралась в праздники.",м.,метров
"Остров в 300 м к югу от о. Конёво-яма, в районе д. Лонгасово.",о.,остров
"Остров в 300 м в длину и 70 м. в ширину, один из Фофановских островов, расположен в губе Святуха в 3 км на с/з от Погоста. По размеру больше Младшего Фофана. Фофанов остров [РГИА, ф.380, оп.17, № 533, планшет 31, 1868].",м.,метров
"Остров в 300 м в длину и 70 м. в ширину, один из Фофановских островов, расположен в губе Святуха в 3 км на с/з от Погоста. По размеру больше Младшего Фофана. Фофанов остров [РГИА, ф.380, оп.17, № 533, планшет 31, 1868].",м.,метров
Остров Белого моря к северу от о. Лигова.,о.,остров
"Омут на р. Суна, чуть выше острова Ситостров.",р.,река
"Омут на р. Иводе, против дер. K'ün'd'üšt.",р.,река
"Омут на р. Иводе, при впадении р. Vastoja.",р.,река
Омут в 3000 м. к югу от деревни на реке taroin jogi.,м.,метров
"Озерцо в районе д. Ёндогубы. Вода чёрная, щуки - тёмные.",д.,деревня
"Озеро, через которое протекает р. Туба. на карте обозначено как оз. Егозеро, но местное население называет оз. Падун.",р.,река
"Озеро, через которое протекает р. Туба. на карте обозначено как оз. Егозеро, но местное население называет оз. Падун.",р.,река
"Озеро, соединятеся с оз. Купецким р. Шалица.",р.,река
"Озеро, находящееся в 250 м. от оз. Долгая Лампи на северо-восток.",м.,метров
"Озеро, находящееся в 250 м. от оз. Долгая Лампи на северо-восток.",м.,метров
"Озеро, находящеейся в болотистой местности, в низменности в 500 м. от оз. Верхнее.",м.,метров
"Озеро, исток ручья Палоручей в р. Колоду расположено в 4 км от б/д. Палоручей",р.,река
"Озеро, исток р. Гаужа.",р.,река
Озеро-ламбушка Мусталампи расположено на о. Хонкасало.,о.,остров
Озеро у с. Шелтозеро.,с.,село
"Озеро Синемукса, протяженное, изрезано заливами. На берегу одного из заливов (зал. Кинелахта) располагается деревня Кинелахта. Очень мало островов. Ловля рыбы. Озеро Кинелахтинское в 2 км на вост. от д. Легмойла.",д.,деревня
Озеро недалеко от р. Черная в сторону Пудожа.,р.,река
"Озеро на юге от д. Ушково, которое является расширением р. Нижняя Охта. Вытянутое в длину озеро, через него протекает река Охта.",р.,река
Озеро на севере от д. Берёзово.,д.,деревня
Озеро на р. Иводе.,р.,река
Озеро на п-ове Ютнаволок длиной примерно 500 м.,м.,метров
Озеро км в 50 от п. Панозеро. Из него вытекает река Воинга.,п.,посёлок
Озеро к югу от д. Paloniemi.,д.,деревня
"Озеро к юго-востоку от с. Нюхча, в районе хутора Уккозеро. Возможно, что написано с ошибкой → *Гуляево.",с.,село
"Озеро к северу от Колвицкого озера, соединено с ним проливом Бабья салма. Здесь рыбачили жители дер. Колвица. До 1900 г. колвичане могли ловить рыбу только в Колвицком озере и впадающей в него речке Тикше, в озере Глубоком, к северу от него (Никольский 1927: 155).",г.,год
Озеро к северо-западу от с. Нюхча.,с.,село
"Озеро к северо-западу от Кандалакши (далеко), рядом г. Слюдяная.",г.,гора
Озеро Глухое у д. Устье.,д.,деревня
"Озеро глухое в районе оз. Мягозеро Подгорнее, Мягозеро Дорожнее на с/в от с. Корбозеро. Самое глубокое, до 40 м. Все видно на глубину.",с.,село
"озеро возле населенного пункта Печная Сельга, в правобережье р. Мегрега",р.,река
"озеро возле населенного пункта Печная Сельга, в правобережье р. Мегрега",р.,река
"Озеро в урочище д. Рубцовой (д. Салмозеро). По воспоминаниям, крестьяне спустили воду в болото, хотели сделать покос. Озеро (басс. р. Корба) за д. Рубцово из озера ручей в р. Корба (с. Салмозеро).",р.,река
Озеро в районе с. Нюхча.,с.,село
"Озеро в районе с. Нюхча, рядом с порогом Падун. На карте - оз. Собачье.",с.,село
"Озеро в районе р. Калма, рядом оз. Кекозеро",р.,река
Озеро в районе д. Ушково.,д.,деревня
"Озеро в районе д. Лапино, из него вытекает Волчий ручей.",д.,деревня
"Озеро в районе д. Воренжа, через него протекает р. Пенега.",р.,река
"Озеро в районе д. Воренжа, соединено р. Боевушкой с Верхним Тумиштозером и оз. Глубоким.",р.,река
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях п. Кубово.,п.,посёлок
Озеро в окрестностях д. Виданы.,д.,деревня
Озеро в окрестностях г. Кондопога.,г.,город
"Озеро в окрестностях г. Кондопога, чуть восточнее. На карте обозначено как оз. Бол. Ровкозеро.",г.,город
"Озеро в д. Нигижма. Озеро, на берегу которого д. Нигижма и п. Красный Бор прокопан канал в р. Черная. -Дер. в Негижме на Урмо-озерки у часовни, а ныне в той деревне поставлена ново церковь Рождество пречистые. -Дер. в Негижме на Урмо-озере словет Олексеевская -Дер. В Негижме на Урмо-озерке Корчагинская [ПКОП 1563, с 181]",п.,посёлок
"Озеро в Горной Даче, одно из трех Корехозер, между Северным и Южным. Длина 800 м., ширина 150 м.",м.,метров
"Озеро в Горной Даче, одно из трех Корехозер, между Северным и Южным. Длина 800 м., ширина 150 м.",м.,метров
"Озеро в басс. р. Новгуда. Озеро на лев. берегу р. Илекса, через озеро протекает р. Новгуда.",р.,река
"Озеро в 4,5 км к северу от с. Шуньга, у д. Ажебнаволок, длиной 300-400 м.",м.,метров
"Озеро в 4 км. от с. Нюхча. Вокруг озера болото, поросшее болотным сосняком, изредка встречается ель, лиственных пород нет, берега торфяные, но достаточно высокие, средняя глубинга 2 м., дно чистое, от берега песчаное, корг нет.",м.,метров
"Озеро в 4 км. от д. Суйсарь по Ялгубской дороге, в 300 м. южнее дороги.",м.,метров
"Озеро в 2 км на северо-запад от д. Тавойгора. Диаметр примерно 150 м. Называется так из-за того, что никто не смог измерить глубину озера.",м.,метров
"Озеро в 18 км. от Пондалы в сторону Шимозера, исток р. Иводы.",р.,река
"Озеро в 1 км от д. Заозерье, исток ручья Хараручей в р. Хабанзю. На берегу был кожевенный завод.",р.,река
Озеро в 1 км на север от с. Шуньга.,с.,село
"Озеро (ламба) Кельелампирасположено в поселении Kiislahti. На западе от озера находится гора Наапаламменмяки, а на востоке - г. Мустамяки.",г.,город
Озеро (бассейн р. Усланка) у д. Ташкеницы. Русское название Ташкенское.,д.,деревня
"Озеро (басс. р. Шолы), длиной в 1 км., шириной 300 м., у хутора Seliš, из него вытекает ручей Ignatoja в р. Шолу.",м.,метров
"Озеро (басс. р. Иводы) по направлению к дер. Куя, из него течет ручей Šar'jaoja в р. Иводу.",р.,река
"Озеро (басс. р. Водла), исток руч. Черный в р. Черева (д. Заволочье).",р.,река
"Озеро (басс. р. Водла), исток руч. Бабий в оз. Бол. Салмозеро. Озеро (басс. р. Корба), стекает по ручью в оз. Салмозеро. Озеро, севернее оз. Салмозеро, соединяется с ним.",р.,река
"Озеро (басс. р. Водла), исток р. Лейбушка.",р.,река
"Озеро (басс. р. Водла), в кот. с востока впадает р. Устрека, на зап. вытекает р. Пизьма. По озеру угодья д. Еремеевская (Салмозеро) информатор связывает название с тем, что озеро сильно заросло и на нем гнездятся гуси. Озеро (басс. р. Корба), расположено ниже Салмозера, из озера вытекает р. Пизьма (так называется нижнее течение р. Корба). Озеро (басс. р. Водла), через кот. протекает р. Пизьма, вытекающая из оз. Салмозеро.",р.,река
Озеро (басс. р. Водла) у р. Матсара.,р.,река
"Озерко, в котором мочили лен у д. Шокша.",д.,деревня
"Озерко, в котором мочили лен у д. Шокша.",д.,деревня
Озерко у с. Георгиевское.,с.,село
"оз., соединенное протокой с р. Huškalanjogi, южнее оз. Пейзиярви",р.,река
"Одна из полян, расположенных в 100 м от южной оконечности д. Саньки.",д.,деревня
"Один из Антиповских островов, 500 м. в длину и 200 м. в ширину. Находится в оз.Космозеро в 150 м восточнее Большого Антиповского (Поповского) острова.",м.,метров
"Один из Антиповских островов, 500 м. в длину и 200 м. в ширину. Находится в оз.Космозеро в 150 м восточнее Большого Антиповского (Поповского) острова.",м.,метров
